threshold,accuracy,balanced_accuracy,precision,recall,f1,mcc,tn,fp,fn,tp,roc_auc,pr_auc,brier,total_cost,fp_cost_total,fn_cost_total,n_fp,n_fn,cost_per_sample,avg_cost_fp,avg_cost_fn
0.3,0.9249291784702549,0.9302706866197183,0.9713207547169811,0.9140625,0.9418221734357849,0.8393782744347391,672,38,121,1287,0.9830655809859156,0.9909900112646385,0.09105002711517923,19460997.24020756,14711625.91260669,4749371.32760087,38,121,9188.383966103664,387148.050331755,39251.002707445215
0.45,0.8881019830028328,0.9067611635723432,0.9787408013082584,0.8501420454545454,0.9099201824401368,0.7774549486074978,684,26,211,1197,0.9830655809859156,0.9909900112646385,0.09105002711517923,19598429.71034384,11932546.94096936,7665882.769374482,26,211,9253.27181791494,458944.1131142061,36331.19795912077
0.35,0.9154863078375827,0.9249139724711908,0.9745173745173745,0.8963068181818182,0.9337772844987051,0.8230509259963908,677,33,146,1262,0.9830655809859156,0.9909900112646385,0.09105002711517923,19677144.165387545,14422588.73769675,5254555.427690796,33,146,9290.43633870989,437048.1435665682,35990.10566911504
0.4,0.9013220018885741,0.9153078985275288,0.9761715647339158,0.8728693181818182,0.9216347956505437,0.7985851706124028,680,30,179,1229,0.9830655809859156,0.9909900112646385,0.09105002711517923,20013391.44601072,14228138.33769675,5785253.10831397,30,179,9449.193317285515,474271.277923225,32319.849767117154
0.25,0.9296506137865911,0.9313780409731114,0.9666419570051891,0.9261363636363636,0.945955749002539,0.8469336463405186,665,45,104,1304,0.9830655809859156,0.9909900112646385,0.09105002711517923,20417294.46947459,17199783.315070745,3217511.154403845,45,104,9639.893517221242,382217.4070015722,30937.607253883118
0.15,0.939565627950897,0.9280129641485275,0.946927374301676,0.9630681818181818,0.9549295774647887,0.863542773596143,634,76,52,1356,0.9830655809859156,0.9909900112646385,0.09105002711517923,24299073.70614125,22891027.873171333,1408045.8329699154,76,52,11472.650475043083,301197.73517330707,27077.80448019068
0.2,0.9287063267233239,0.9261293613956466,0.9577567370721048,0.9339488636363636,0.945702984537936,0.8425361651364975,652,58,93,1315,0.9830655809859156,0.9909900112646385,0.09105002711517923,24633302.50337696,22497495.351063218,2135807.152313744,58,93,11630.454439743608,387887.8508804002,22965.668304448864
0.5,0.8786591123701605,0.9017535611395646,0.9832073887489504,0.8316761363636364,0.9011158137745287,0.7645827308328967,690,20,237,1171,0.9830655809859156,0.9909900112646385,0.09105002711517923,25786017.0643951,9465759.290902,16320257.773493102,20,237,12174.701163548205,473287.9645451,68861.84714554051
0.1,0.9376770538243626,0.9199593870038412,0.9351978171896317,0.9737215909090909,0.954070981210856,0.8589680447272872,615,95,37,1371,0.9830655809859156,0.9909900112646385,0.09105002711517923,27276872.68575254,26191422.198189132,1085450.4875634096,95,37,12878.599001771738,275699.18103356985,29336.499663875937
0.55,0.8654390934844193,0.89285771446863,0.9853068280034573,0.8096590909090909,0.8888888888888888,0.7450191050922976,693,17,268,1140,0.9830655809859156,0.9909900112646385,0.09105002711517923,28463998.00369374,9443518.4688101,19020479.53488364,17,268,13439.092541876176,555501.0864005941,70971.93856299866
0.6,0.8531633616619453,0.8860685419334187,0.991047448522829,0.7862215909090909,0.8768316831683168,0.7300982164841465,700,10,301,1107,0.9830655809859156,0.9909900112646385,0.09105002711517923,28927625.872954965,7495852.265984317,21431773.60697065,10,301,13657.99144143294,749585.2265984316,71201.90567099887
0.65,0.8248347497639282,0.8651108354673496,0.9914691943127962,0.7428977272727273,0.8493706861550954,0.6894334601722116,701,9,362,1046,0.9830655809859156,0.9909900112646385,0.09105002711517923,30591135.34362174,7482900.105984317,23108235.23763742,9,362,14443.406677819517,831433.3451093684,63834.903971374086
0.7,0.7884796978281398,0.8384653088988476,0.9928131416837782,0.6867897727272727,0.8119227539882452,0.6411832506136411,703,7,441,967,0.9830655809859156,0.9909900112646385,0.09105002711517923,36505995.53682605,7434179.272040189,29071816.26478586,7,441,17236.0696585581,1062025.6102914554,65922.48586119243
0.75,0.7478753541076487,0.8096710947503201,0.9977220956719818,0.6221590909090909,0.7664041994750657,0.5934758707568247,708,2,532,876,0.9830655809859156,0.9909900112646385,0.09105002711517923,38444177.99979795,1188792.0,37255385.99979795,2,532,18151.16997157599,594396.0,70028.92105225177
0.8,0.6968838526912181,0.7713188220230474,0.9974025974025974,0.5454545454545454,0.7052341597796143,0.5325373975153472,708,2,640,768,0.9830655809859156,0.9909900112646385,0.09105002711517923,40413450.28927569,1188792.0,39224658.28927569,2,640,19080.94914507823,594396.0,61288.52857699327
0.85,0.6444759206798867,0.7325994318181819,1.0,0.46519886363636365,0.6349975763451284,0.4751451864180313,710,0,753,655,0.9830655809859156,0.9909900112646385,0.09105002711517923,42206179.07310821,0.0,42206179.07310821,0,753,19927.374444338155,0.0,56050.70262032962
0.9,0.5736543909348442,0.6793323863636364,1.0,0.3586647727272727,0.5279665446941976,0.39733456993938665,710,0,903,505,0.9830655809859156,0.9909900112646385,0.09105002711517923,44989696.261607364,0.0,44989696.261607364,0,903,21241.59408007902,0.0,49822.47648018533
