threshold,accuracy,balanced_accuracy,precision,recall,f1,mcc,tn,fp,fn,tp,roc_auc,pr_auc,brier,total_cost,fp_cost_total,fn_cost_total,n_fp,n_fn,cost_per_sample,fold
0.95,0.7553241836251775,0.8294801105327421,0.9852813852813853,0.6947496947496947,0.8148943788041533,0.5525724211850275,458,17,500,1138,0.9500848274532484,0.9841255476299273,0.06962997528632502,22453.530407440005,17453.530407440005,5000.0,17,500,10.626375015352581,1
0.9,0.8149550402271651,0.8634573613520982,0.9822119102861562,0.7753357753357754,0.8665984305697714,0.622703103055287,452,23,368,1270,0.9500848274532484,0.9841255476299273,0.06962997528632502,30227.18822444002,26547.18822444002,3680.0,23,368,14.305342273752967,1
0.85,0.8471367723615713,0.8797300944669366,0.9788783685360525,0.8205128205128205,0.8927266688807705,0.664595869866304,446,29,294,1344,0.9500848274532484,0.9841255476299273,0.06962997528632502,31931.813122488693,28991.813122488693,2940.0,29,294,15.112074359909462,1
0.8,0.8703265499290109,0.887960927960928,0.9736111111111111,0.8559218559218559,0.9109811565951916,0.6952371338109108,437,38,236,1402,0.9500848274532484,0.9841255476299273,0.06962997528632502,32679.34786448869,30319.34786448869,2360.0,38,236,15.465853225030141,1
0.75,0.8873639375295788,0.8892339823918771,0.9660452729693741,0.8858363858363858,0.924203821656051,0.7167850314499152,424,51,187,1451,0.9500848274532484,0.9841255476299273,0.06962997528632502,34730.48026848869,32860.48026848869,1870.0,51,187,16.43657371911438,1
0.7,0.8935163274964505,0.8819915172546752,0.9572815533980582,0.9029304029304029,0.9293119698397738,0.7193645932379517,409,66,159,1479,0.9500848274532484,0.9841255476299273,0.06962997528632502,38360.63846648869,36770.63846648869,1590.0,66,159,18.154585171078413,1
0.65,0.8991954566966398,0.8729490392648287,0.9478315524827152,0.9206349206349206,0.9340353050480025,0.721959608215909,392,83,130,1508,0.9500848274532484,0.9841255476299273,0.06962997528632502,42134.86536458603,40834.86536458603,1300.0,83,130,19.940778686505457,1
0.6,0.9072408897302414,0.866927575348628,0.9401709401709402,0.9401709401709402,0.9401709401709402,0.7338551506972559,377,98,98,1540,0.9500848274532484,0.9841255476299273,0.06962997528632502,44891.26461658573,43911.26461658573,980.0,98,98,21.245274309789743,1
0.55,0.9119734973970658,0.8602641218430692,0.9336917562724014,0.9542124542124543,0.9438405797101449,0.7413866743709234,364,111,75,1563,0.9500848274532484,0.9841255476299273,0.06962997528632502,57015.671241585755,56265.671241585755,750.0,111,75,26.983280284706936,1
0.5,0.9096071935636536,0.8490219137587559,0.9268436578171091,0.9590964590964591,0.9426942694269427,0.7314985212924233,351,124,67,1571,0.9500848274532484,0.9841255476299273,0.06962997528632502,59580.07585458576,58910.07585458576,670.0,124,67,28.19691237793931,1
0.45,0.9086606720302887,0.8416849816849816,0.9222676797194623,0.9633699633699634,0.9423708569722306,0.7268111952813467,342,133,60,1578,0.9500848274532484,0.9841255476299273,0.06962997528632502,71604.75280458576,71004.75280458576,600.0,133,60,33.887720210405,1
0.4,0.9025082820634169,0.8212743396953923,0.9110218140068886,0.9688644688644689,0.9390532544378698,0.7050156518009765,320,155,51,1587,0.9500848274532484,0.9841255476299273,0.06962997528632502,90234.36855258678,89724.36855258678,510.0,155,51,42.70438644230325,1
0.35,0.8963558920965452,0.8053479853479854,0.9028960817717206,0.9706959706959707,0.9355692850838482,0.6841916952276212,304,171,48,1590,0.9500848274532484,0.9841255476299273,0.06962997528632502,94272.46316558677,93792.46316558677,480.0,171,48,44.61545819478787,1
0.3,0.8868906767628963,0.7790636848531585,0.8896935933147633,0.974969474969475,0.9303815904456744,0.6516153213166042,277,198,41,1597,0.9500848274532484,0.9841255476299273,0.06962997528632502,104665.43429558678,104255.43429558678,410.0,198,41,49.534043679880156,1
0.25,0.8831045906294368,0.7669057258530942,0.8836183121897407,0.978021978021978,0.9284265430310055,0.638457672660792,264,211,36,1602,0.9500848274532484,0.9841255476299273,0.06962997528632502,107135.54302958677,106775.54302958677,360.0,211,36,50.703049233121995,1
0.2,0.8783719829626124,0.7518951224214382,0.8762942779291553,0.9816849816849816,0.9260005758710049,0.6221757429153905,248,227,30,1608,0.9500848274532484,0.9841255476299273,0.06962997528632502,117250.95983058677,116950.95983058677,300.0,227,30,55.49027914367571,1
0.15,0.8689067676289636,0.7293477282950966,0.8660570199031737,0.9829059829059829,0.9207892479267944,0.5888052026733842,226,249,28,1610,0.9500848274532484,0.9841255476299273,0.06962997528632502,142131.4911194896,141851.4911194896,280.0,249,28,67.26525845692835,1
